Frame No,Marker No.,Top Left,,Top Right,,Bottom Right,,Bottom Left,,Top Left,,Top Right,,Bottom Right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
29,3,423.367,408.906,462.544,409.049,465.009,440.623,425.649,439.173,0.3307554688,0.432075,0.3613625,0.4318763889,0.3632882813,0.3880236111,0.3325382813,0.3900375
29,4,920.516,409.075,960.948,408.16,958.715,438.924,918.719,440.513,0.719153125,0.4318402778,0.750740625,0.4331111111,0.7489960938,0.3903833333,0.7177492188,0.3881763889
30,1,414,160.944,454.113,157.132,453.935,188.398,414,191.828,0.3234375,0.7764666667,0.3547757813,0.7817611111,0.3546367188,0.7383361111,0.3234375,0.7335722222
30,2,921.234,148.531,961.824,151.425,963.882,183.672,922.311,180.748,0.7197140625,0.7937069444,0.751425,0.7896875,0.7530328125,0.7449,0.7205554688,0.7489611111
30,3,423.606,402.25,462.899,403.29,465.223,433.463,426.095,432.156,0.3309421875,0.4413194444,0.3616398438,0.439875,0.3634554688,0.3979680556,0.3328867188,0.3997833333
30,4,920.767,402.991,961.233,402.187,959.352,432.456,919.277,433.302,0.7193492188,0.4402902778,0.7509632813,0.4414069444,0.74949375,0.3993666667,0.7181851563,0.3981916667
31,1,414.45,152.93,453.983,148.843,454.619,180.12,414.614,183.556,0.3237890625,0.7875972222,0.3546742188,0.7932736111,0.3551710938,0.7498333333,0.3239171875,0.7450611111
31,2,921.471,141.068,962.739,144.145,964.228,175.384,923.14,172.599,0.7198992188,0.8040722222,0.7521398438,0.7997986111,0.753303125,0.7564111111,0.721203125,0.7602791667
31,4,921.479,394.255,961.957,393.865,959.611,424.709,919.524,425.204,0.7199054688,0.4524236111,0.7515289063,0.4529652778,0.7496960938,0.4101263889,0.718378125,0.4094388889
32,1,415,144.79,455.116,140.635,454.937,172.017,415,175.527,0.32421875,0.7989027778,0.355559375,0.8046736111,0.3554195313,0.7610875,0.32421875,0.7562125
32,2,922.299,133.075,963.654,136.655,964.685,168.448,923.993,165.556,0.7205460938,0.8151736111,0.7528546875,0.8102013889,0.7536601563,0.7660444444,0.7218695313,0.7700611111
32,3,424.304,385.733,463.405,386.276,466.061,417.238,426.432,415.73,0.3314875,0.4642597222,0.3620351563,0.4635055556,0.3641101563,0.4205027778,0.33315,0.4225972222
32,4,922.173,386.95,962.173,386.95,960.521,417.754,920.111,418.415,0.7204476563,0.4625694444,0.7516976563,0.4625694444,0.7504070313,0.4197861111,0.7188367188,0.4188680556
33,1,415,138.726,455.298,134.478,455.309,166.162,415,169.54,0.32421875,0.807325,0.3557015625,0.813225,0.3557101563,0.7692194444,0.32421875,0.7645277778
33,2,922.865,127.55,963.67,131.318,965.339,163.039,924.255,160.296,0.7209882813,0.8228472222,0.7528671875,0.8176138889,0.7541710938,0.7735569444,0.7220742188,0.7773666667
33,4,922.196,381.95,962.195,381.95,960.582,412.937,919.973,414.231,0.720465625,0.4695138889,0.7517148438,0.4695138889,0.7504546875,0.4264763889,0.7187289063,0.4246791667
34,1,414.943,134.884,455.459,130.734,455.639,162.471,415.108,165.94,0.3241742188,0.8126611111,0.3558273438,0.818425,0.3559679688,0.7743458333,0.324303125,0.7695277778
34,2,923.064,124.252,963.721,127.81,965.461,159.772,924.305,156.953,0.72114375,0.8274277778,0.7529070313,0.8224861111,0.7542664063,0.7780944444,0.7221132813,0.7820097222
34,3,423.64,377.109,463.397,377.435,465.233,409.314,426.336,407.624,0.33096875,0.4762375,0.3620289063,0.4757847222,0.3634632813,0.4315083333,0.333075,0.4338555556
34,4,922.135,378.95,962.283,378.95,960.162,410.75,919.92,411.121,0.7204179688,0.4736805556,0.7517835938,0.4736805556,0.7501265625,0.4295138889,0.7186875,0.4289986111
35,1,415.105,132.8,455.16,128.564,454.83,160.454,414.798,164.157,0.3243007813,0.8155555556,0.35559375,0.8214388889,0.3553359375,0.7771472222,0.3240609375,0.7720041667
35,2,922.826,122.281,963.668,125.998,965.428,158.097,924.377,154.814,0.7209578125,0.8301652778,0.752865625,0.8250027778,0.754240625,0.7804208333,0.7221695313,0.7849805556
35,3,423.523,375.807,463.111,376.095,465.167,407.18,426.202,406.904,0.3308773438,0.4780458333,0.3618054688,0.4776458333,0.3634117188,0.4344722222,0.3329703125,0.4348555556
35,4,922.354,377.271,962.277,377.436,960.141,408.758,920.025,409.674,0.7205890625,0.4760125,0.7517789063,0.4757833333,0.7501101563,0.4322805556,0.7187695313,0.4310083333
36,1,415,132.084,455.045,128.107,454.904,160.166,415,163.634,0.32421875,0.81655,0.3555039063,0.8220736111,0.35539375,0.7775472222,0.32421875,0.7727305556
36,2,922.659,121.368,963.735,125.042,965.373,157.293,924.222,154.369,0.7208273438,0.8314333333,0.7529179688,0.8263305556,0.7541976563,0.7815375,0.7220484375,0.7855986111
36,3,423.506,375.01,463.326,376.299,465.396,407.068,426.302,406.815,0.3308640625,0.4791527778,0.3619734375,0.4773625,0.363590625,0.4346277778,0.3330484375,0.4349791667
36,4,924.008,377.203,962.377,376.839,960.421,409,921.923,409,0.72188125,0.4761069444,0.7518570313,0.4766125,0.7503289063,0.4319444444,0.7202523438,0.4319444444
37,1,415,132.254,454.647,128.027,455.354,160.123,415,163.614,0.32421875,0.8163138889,0.3551929688,0.8221847222,0.3557453125,0.7776069444,0.32421875,0.7727583333
37,2,923.05,121.158,963.681,124.806,965.69,157.136,924.317,154.125,0.7211328125,0.831725,0.7528757813,0.8266583333,0.7544453125,0.7817555556,0.7221226563,0.7859375
37,3,423.799,375.007,463.528,376.318,465.905,407.043,426.605,406.9,0.3310929688,0.4791569444,0.36213125,0.4773361111,0.3639882813,0.4346625,0.3332851563,0.4348611111
37,4,922.187,376.861,962.821,376.996,960.624,408.903,920.701,409.048,0.7204585938,0.4765819444,0.7522039063,0.4763944444,0.7504875,0.4320791667,0.7192976563,0.4318777778
38,1,415,132.315,455.033,127.94,455.481,160.058,415,163.789,0.32421875,0.8162291667,0.3554945313,0.8223055556,0.3558445313,0.7776972222,0.32421875,0.7725152778
38,2,923.519,121.077,964.194,124.379,965.678,156.787,924.271,153.707,0.7214992188,0.8318375,0.7532765625,0.8272513889,0.7544359375,0.7822402778,0.7220867188,0.7865180556
38,3,424.465,375.591,463.632,376.175,466.342,407,426.909,407,0.3316132813,0.4783458333,0.3622125,0.4775347222,0.3643296875,0.4347222222,0.3335226563,0.4347222222
38,4,923.069,376.544,963.229,377.097,961.223,407.583,920.522,409.257,0.7211476563,0.4770222222,0.7525226563,0.4762541667,0.7509554688,0.4339125,0.7191578125,0.4315875
39,1,415.31,131.802,456,127.515,456,159.474,415.964,163.359,0.3244609375,0.8169416667,0.35625,0.8228958333,0.35625,0.7785083333,0.324971875,0.7731125
39,2,923.433,120.315,964.552,123.753,966.449,156.267,925.068,152.947,0.7214320313,0.8328958333,0.75355625,0.8281208333,0.7550382813,0.7829625,0.722709375,0.7875736111
39,3,424.815,374.953,464.691,375.099,466.888,406.416,427.45,405.631,0.3318867188,0.4792319444,0.3630398438,0.4790291667,0.36475625,0.4355333333,0.3339453125,0.4366236111
39,4,923.449,376.046,964.048,375.748,961.779,406.766,921.728,407.98,0.7214445313,0.4777138889,0.7531625,0.4781277778,0.7513898438,0.4350472222,0.7201,0.4333611111
40,1,416,130.581,456.09,126.609,456.218,158.533,416,162.113,0.325,0.8186375,0.3563203125,0.8241541667,0.3564203125,0.7798152778,0.325,0.7748430556
40,2,924.176,119.252,965.516,122.694,966.991,155.132,926.241,151.969,0.7220125,0.8343722222,0.754309375,0.8295916667,0.7554617188,0.7845388889,0.7236257813,0.7889319444
40,3,425.586,373.911,465.582,374.044,467.254,405.393,428.233,404.731,0.3324890625,0.4806791667,0.3637359375,0.4804944444,0.3650421875,0.4369541667,0.3345570313,0.4378736111
40,4,924.331,374.608,965.037,374.409,962.642,405.838,922.596,407.055,0.7221335938,0.4797111111,0.7539351563,0.4799875,0.7520640625,0.4363361111,0.720778125,0.4346458333
