Frame No.,Marker No.,Top Left,,Top Right,,Bottom Right,,Bottom Left,,Top Left,,Top Right,,Bottom Right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
36,4,947.446,358.155,988.137,357.63,986.154,389.535,945.993,390.843,0.740192188,0.5025625,0.771982031,0.503291667,0.770432813,0.458979167,0.739057031,0.4571625
37,1,428.452,120.376,468.825,115.276,470.048,147.372,429.158,151.955,0.334728125,0.832811111,0.366269531,0.839894444,0.367225,0.795316667,0.335279688,0.788951389
37,2,941.288,99.4186,982.232,102.51,984.528,134.634,943.405,132.749,0.73538125,0.861918611,0.76736875,0.857625,0.7691625,0.813008333,0.737035156,0.815626389
37,3,442.354,365.269,482.265,364.128,484.616,395.795,445.194,396.024,0.345589063,0.492681944,0.376769531,0.494266667,0.37860625,0.450284722,0.347807813,0.449966667
37,4,946.252,357.902,986.323,357.047,984.4,389.021,943.973,390.401,0.739259375,0.502913889,0.770564844,0.504101389,0.7690625,0.459693056,0.737478906,0.457776389
38,1,426.876,119.207,466.769,113.891,468.197,146.02,427.054,150.55,0.333496875,0.834434722,0.364663281,0.841818056,0.365778906,0.797194444,0.333635938,0.790902778
38,2,939.473,99.2373,980.744,102.441,982.856,134.863,941.531,132.338,0.733963281,0.862170417,0.76620625,0.857720833,0.76785625,0.812690278,0.735571094,0.816197222
38,3,440.304,363.076,480.463,362.971,483.181,395,443.54,395,0.3439875,0.495727778,0.375361719,0.495873611,0.377485156,0.451388889,0.346515625,0.451388889
38,4,944.397,357.079,984.747,356.967,982.828,389.047,942.685,390.334,0.737810156,0.504056944,0.769333594,0.5042125,0.767834375,0.459656944,0.736472656,0.457869444
39,1,426.992,118.455,467.842,113.444,468.479,145.497,428.111,149.929,0.3335875,0.835479167,0.365501563,0.842438889,0.365999219,0.797920833,0.334461719,0.791765278
39,2,940.422,99.4615,981.559,102.368,983.452,133.323,942.315,133.051,0.734704688,0.861859028,0.766842969,0.857822222,0.768321875,0.814829167,0.736183594,0.815206944
39,3,441.611,363,481.523,363,484.641,395.043,444.956,394.85,0.345008594,0.495833333,0.376189844,0.495833333,0.378625781,0.451329167,0.347621875,0.451597222
39,4,945.28,357.456,986.017,356.917,983.85,389.135,943.834,390.299,0.7385,0.503533333,0.770325781,0.504281944,0.768632813,0.459534722,0.737370313,0.457918056
40,1,429,118.948,469.547,113.565,470.274,145.819,429,150.507,0.33515625,0.834794444,0.366833594,0.842270833,0.367401563,0.797473611,0.33515625,0.7909625
40,2,941.703,99.444,982.889,102.681,985.492,135.182,944.269,132.45,0.735705469,0.861883333,0.767882031,0.8573875,0.769915625,0.812247222,0.737710156,0.816041667
40,3,443.121,364.016,483.259,363.2,485.643,395,446.068,395,0.346188281,0.494422222,0.377546094,0.495555556,0.379408594,0.451388889,0.348490625,0.451388889
40,4,946.918,358.09,987.003,357.804,985.662,389.664,945.37,390.934,0.739779688,0.502652778,0.771096094,0.50305,0.770048438,0.4588,0.738570313,0.457036111
