FrameNo,Marker,Top Left,,Top Right,,Bottom Right,,Bottom Left,,Top Left,,Top Right,,Bottom Right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
32,2,936.368,135.454,974.99,139.402,976.347,172.136,937.837,168.845,0.7315375,0.8118694444,0.7617109375,0.8063861111,0.7627710938,0.7609222222,0.7326851563,0.7654930556
32,3,402.95,410.114,448.718,409.75,451.571,445,406.224,445,0.3148046875,0.4303972222,0.3505609375,0.4309027778,0.3527898438,0.3819444444,0.3173625,0.3819444444
32,4,934.204,395.398,971.965,393.382,969.483,425.088,931.453,427.967,0.729846875,0.4508361111,0.7593476563,0.4536361111,0.7574085938,0.4096,0.7276976563,0.4056013889
33,1,393.154,136.764,440,132.352,440,168.531,392.651,172.33,0.3071515625,0.81005,0.34375,0.8161777778,0.34375,0.7659291667,0.3067585938,0.7606527778
33,2,935.961,135.354,974.727,139.387,976.388,172.287,937.299,168.796,0.7312195313,0.8120083333,0.7615054688,0.8064069444,0.762803125,0.7607125,0.7322648438,0.7655611111
33,3,402.844,410.074,448.697,409.836,451.484,445,406.043,445,0.314721875,0.4304527778,0.3505445313,0.4307833333,0.352721875,0.3819444444,0.3172210938,0.3819444444
33,4,933.355,395.327,971.992,393.215,969.077,425.075,931.537,427.901,0.7291835938,0.4509347222,0.75936875,0.4538680556,0.7570914063,0.4096180556,0.7277632813,0.4056930556
34,1,392.197,136.766,439.268,132.458,438.994,168.594,391.918,172.431,0.3064039063,0.8100472222,0.343178125,0.8160305556,0.3429640625,0.7658416667,0.3061859375,0.7605125
34,2,935.766,135.326,974.708,139.338,976.087,172.394,936.963,168.661,0.7310671875,0.8120472222,0.761490625,0.806475,0.7625679688,0.7605638889,0.7320023438,0.7657486111
34,3,402.599,411.174,448.366,409.427,451.071,444.93,405.739,445.03,0.3145304688,0.428925,0.3502859375,0.4313513889,0.3523992188,0.3820416667,0.3169835938,0.3819027778
34,4,933.377,395.323,971.472,393.141,968.936,425.017,931.105,427.844,0.7292007813,0.4509402778,0.7589625,0.4539708333,0.75698125,0.4096986111,0.7274257813,0.4057722222
35,1,392.157,136.63,439.101,132.624,438.956,168.574,391.851,172.484,0.3063726563,0.8102361111,0.3430476563,0.8158,0.342934375,0.7658694444,0.3061335938,0.7604388889
35,2,935.443,135.096,974.3,139.351,975.702,172.116,937.143,168.705,0.7308148438,0.8123666667,0.761171875,0.8064569444,0.7622671875,0.76095,0.7321429688,0.7656875
35,3,402.362,410.04,448.174,409.914,451.044,445,405.465,445,0.3143453125,0.4305,0.3501359375,0.430675,0.352378125,0.3819444444,0.3167695313,0.3819444444
35,4,933.263,395.268,971.411,393.052,968.753,424.981,930.941,427.583,0.7291117188,0.4510166667,0.7589148438,0.4540944444,0.7568382813,0.4097486111,0.7272976563,0.4061347222
36,1,392.107,136.899,439.109,132.481,438.946,168.652,391.796,172.494,0.3063335938,0.8098625,0.3430539063,0.8159986111,0.3429265625,0.7657611111,0.306090625,0.760425
36,2,935.524,134.991,973.944,139.222,975.698,172.024,936.777,168.612,0.730878125,0.8125125,0.76089375,0.8066361111,0.7622640625,0.7610777778,0.7318570313,0.7658166667
36,3,402.417,410.392,448.15,409.85,450.824,445,405.262,445,0.3143882813,0.4300111111,0.3501171875,0.4307638889,0.35220625,0.3819444444,0.3166109375,0.3819444444
36,4,933.363,395.034,971.361,393.034,968.68,424.966,930.487,427.657,0.7291898438,0.4513416667,0.7588757813,0.4541194444,0.75678125,0.4097694444,0.7269429688,0.4060319444
37,1,392.058,136.793,439.035,132.512,438.796,168.581,391.889,172.403,0.3062953125,0.8100097222,0.3429960938,0.8159555556,0.342809375,0.7658597222,0.3061632813,0.7605513889
37,2,935.461,134.962,973.973,139.195,975.477,172.03,936.3,168.596,0.7308289063,0.8125527778,0.7609164063,0.8066736111,0.7620914063,0.7610694444,0.731484375,0.7658388889
37,3,402.067,410.126,447.747,409.825,450.84,445,405.281,445,0.3141148438,0.4303805556,0.3498023438,0.4307986111,0.35221875,0.3819444444,0.3166257813,0.3819444444
