Frame,,Top Left,,Top Right,,Bottom right,,Bottom Left,,Top Left,,Top Right,,Bottom right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
34,1,379.778,153.264,426.108,148.72,425.946,184.731,379.778,189.168,0.2967015625,0.7871333333,0.332896875,0.7934444444,0.3327703125,0.7434291667,0.2967015625,0.7372666667
34,2,922.719,144.385,961.86,147.907,963.324,180.83,924.309,178.385,0.7208742188,0.7994652778,0.751453125,0.7945736111,0.752596875,0.7488472222,0.7221164063,0.7522430556
34,3,392.87,427.167,438.476,426.41,441.654,461,396.348,461,0.3069296875,0.4067125,0.342559375,0.4077638889,0.3450421875,0.3597222222,0.309646875,0.3597222222
34,4,923.378,405.185,962.002,402.355,959.626,434.284,921.684,437.832,0.7213890625,0.4372430556,0.7515640625,0.4411736111,0.7497078125,0.3968277778,0.720065625,0.3919
35,1,380.053,153.562,426.041,148.578,426.46,184.641,379.892,189.214,0.2969164063,0.7867194444,0.3328445313,0.7936416667,0.333171875,0.7435541667,0.296790625,0.7372027778
35,2,923.214,144.297,961.912,147.752,963.872,180.687,924.474,178.222,0.7212609375,0.7995875,0.75149375,0.7947888889,0.753025,0.7490458333,0.7222453125,0.7524694444
35,3,393.235,427.142,438.91,426.494,442.264,461,396.908,461,0.3072148438,0.4067472222,0.3428984375,0.4076472222,0.34551875,0.3597222222,0.310084375,0.3597222222
35,4,924.093,405.083,962.326,402.314,960.196,434.243,922.059,437.452,0.7219476563,0.4373847222,0.7518171875,0.4412305556,0.750153125,0.3968847222,0.7203585938,0.3924277778
36,1,380,153.512,427.101,148.665,426.946,184.997,380,189.317,0.296875,0.7867888889,0.3336726563,0.7935208333,0.3335515625,0.7430597222,0.296875,0.7370597222
36,2,923.455,144.224,962.295,147.347,964.28,180.406,924.868,177.831,0.7214492188,0.7996888889,0.7517929688,0.7953513889,0.75334375,0.7494361111,0.722553125,0.7530125
36,3,393.52,427.006,439.415,426.603,442.544,461,397.637,461,0.3074375,0.4069361111,0.3432929688,0.4074958333,0.3457375,0.3597222222,0.3106539063,0.3597222222
36,4,924.33,404.38,962.395,402.426,960.92,433.849,922.538,437.268,0.7221328125,0.4383611111,0.7518710938,0.441075,0.75071875,0.3974319444,0.7207328125,0.3926833333
37,1,380,153.51,427.1,148.793,426.947,184.868,380,189.371,0.296875,0.7867916667,0.333671875,0.7933430556,0.3335523438,0.7432388889,0.296875,0.7369847222
37,2,923.273,143.741,962.493,147.29,964.247,180.079,925.396,177.727,0.7213070313,0.8003597222,0.7519476563,0.7954305556,0.7533179688,0.7498902778,0.722965625,0.7531569444
37,3,393.578,427.151,439.357,426.676,442.526,460.961,397.395,461.086,0.3074828125,0.4067347222,0.3432476563,0.4073944444,0.3457234375,0.3597763889,0.3104648438,0.3596027778
